Length	Start	data
16.0	6.0	104.0
17.0	6.0	76.0
18.0	6.0	82.0
19.0	6.0	76.0
20.0	6.0	94.0
21.0	6.0	82.0
22.0	6.0	88.0
23.0	6.0	82.0
24.0	6.0	90.0
25.0	6.0	76.0
26.0	6.0	82.0
27.0	6.0	76.0
28.0	6.0	106.0
29.0	6.0	94.0
30.0	6.0	100.0
31.0	6.0	94.0
32.0	6.0	106.0
33.0	6.0	68.0
34.0	6.0	78.0
35.0	6.0	72.0
36.0	6.0	90.0
37.0	6.0	78.0
38.0	6.0	84.0
39.0	6.0	78.0
40.0	6.0	90.0
41.0	6.0	72.0
42.0	6.0	78.0
43.0	6.0	72.0
44.0	6.0	82.0
45.0	6.0	68.0
46.0	6.0	0.0
47.0	6.0	0.0
48.0	6.0	0.0
49.0	6.0	0.0
50.0	6.0	0.0

1.0	7.0	102.0
2.0	7.0	100.0
3.0	7.0	104.0
4.0	7.0	107.0
5.0	7.0	98.0
6.0	7.0	98.0
7.0	7.0	104.0
8.0	7.0	104.0
9.0	7.0	80.0
10.0	7.0	87.0
11.0	7.0	104.0
12.0	7.0	106.0
13.0	7.0	100.0
14.0	7.0	100.0
15.0	7.0	106.0
16.0	7.0	106.0
17.0	7.0	84.0
18.0	7.0	80.0
19.0	7.0	96.0
20.0	7.0	94.0
21.0	7.0	90.0
22.0	7.0	90.0
23.0	7.0	96.0
24.0	7.0	96.0
25.0	7.0	82.0
26.0	7.0	84.0
27.0	7.0	108.0
28.0	7.0	94.0
29.0	7.0	102.0
30.0	7.0	102.0
31.0	7.0	108.0
32.0	7.0	108.0
33.0	7.0	80.0
34.0	7.0	80.0
35.0	7.0	92.0
36.0	7.0	92.0
37.0	7.0	86.0
38.0	7.0	84.0
39.0	7.0	92.0
40.0	7.0	92.0
41.0	7.0	80.0
42.0	7.0	80.0
43.0	7.0	84.0
44.0	7.0	82.0
45.0	7.0	0.0
46.0	7.0	0.0
47.0	7.0	0.0
48.0	7.0	0.0
49.0	7.0	0.0
50.0	7.0	0.0

1.0	8.0	104.0
2.0	8.0	120.0
3.0	8.0	109.0
4.0	8.0	115.0
5.0	8.0	100.0
6.0	8.0	112.0
7.0	8.0	106.0
8.0	8.0	112.0
9.0	8.0	88.0
10.0	8.0	114.0
11.0	8.0	108.0
12.0	8.0	114.0
13.0	8.0	102.0
14.0	8.0	112.0
15.0	8.0	108.0
16.0	8.0	113.0
17.0	8.0	86.0
18.0	8.0	104.0
19.0	8.0	92.0
20.0	8.0	104.0
21.0	8.0	92.0
22.0	8.0	104.0
23.0	8.0	96.0
24.0	8.0	104.0
25.0	8.0	86.0
26.0	8.0	116.0
27.0	8.0	110.0
28.0	8.0	116.0
29.0	8.0	104.0
30.0	8.0	116.0
31.0	8.0	110.0
32.0	8.0	116.0
33.0	8.0	82.0
34.0	8.0	100.0
35.0	8.0	94.0
36.0	8.0	100.0
37.0	8.0	88.0
38.0	8.0	100.0
39.0	8.0	93.0
40.0	8.0	100.0
41.0	8.0	82.0
42.0	8.0	90.0
43.0	8.0	86.0
44.0	8.0	0.0
45.0	8.0	0.0
46.0	8.0	0.0
47.0	8.0	0.0
48.0	8.0	0.0
49.0	8.0	0.0
50.0	8.0	0.0

1.0	9.0	124.0
2.0	9.0	122.0
3.0	9.0	118.0
4.0	9.0	118.0
5.0	9.0	112.0
6.0	9.0	113.0
7.0	9.0	114.0
8.0	9.0	114.0
9.0	9.0	115.0
10.0	9.0	116.0
11.0	9.0	112.0
12.0	9.0	102.0
13.0	9.0	116.0
14.0	9.0	115.0
15.0	9.0	116.0
16.0	9.0	116.0
17.0	9.0	106.0
18.0	9.0	106.0
19.0	9.0	106.0
20.0	9.0	104.0
21.0	9.0	106.0
22.0	9.0	106.0
23.0	9.0	104.0
24.0	9.0	106.0
25.0	9.0	117.0
26.0	9.0	118.0
27.0	9.0	110.0
28.0	9.0	118.0
29.0	9.0	118.0
30.0	9.0	118.0
31.0	9.0	114.0
32.0	9.0	118.0
33.0	9.0	101.0
34.0	9.0	94.0
35.0	9.0	100.0
36.0	9.0	102.0
37.0	9.0	102.0
38.0	9.0	102.0
39.0	9.0	102.0
40.0	9.0	102.0
41.0	9.0	94.0
42.0	9.0	94.0
43.0	9.0	0.0
44.0	9.0	0.0
45.0	9.0	0.0
46.0	9.0	0.0
47.0	9.0	0.0
48.0	9.0	0.0
49.0	9.0	0.0
50.0	9.0	0.0

1.0	10.0	126.0
2.0	10.0	128.0
3.0	10.0	120.0
4.0	10.0	128.0
5.0	10.0	116.0
6.0	10.0	122.0
7.0	10.0	116.0
8.0	10.0	140.0
9.0	10.0	118.0
10.0	10.0	124.0
