Length	Start	data
26.0	3.0	44.0
27.0	3.0	46.0
28.0	3.0	46.0
29.0	3.0	44.0
30.0	3.0	42.0
31.0	3.0	60.0
32.0	3.0	58.0
33.0	3.0	30.0
34.0	3.0	28.0
35.0	3.0	34.0
36.0	3.0	32.0
37.0	3.0	28.0
38.0	3.0	26.0
39.0	3.0	36.0
40.0	3.0	22.0
41.0	3.0	28.0
42.0	3.0	26.0
43.0	3.0	32.0
44.0	3.0	28.0
45.0	3.0	26.0
46.0	3.0	24.0
47.0	3.0	52.0
48.0	3.0	50.0
49.0	3.0	0.0
50.0	3.0	0.0

1.0	4.0	64.0
2.0	4.0	72.0
3.0	4.0	60.0
4.0	4.0	64.0
5.0	4.0	48.0
6.0	4.0	58.0
7.0	4.0	52.0
8.0	4.0	56.0
9.0	4.0	16.0
10.0	4.0	56.0
11.0	4.0	50.0
12.0	4.0	54.0
13.0	4.0	46.0
14.0	4.0	56.0
15.0	4.0	50.0
16.0	4.0	54.0
17.0	4.0	18.0
18.0	4.0	56.0
19.0	4.0	50.0
20.0	4.0	54.0
21.0	4.0	46.0
22.0	4.0	50.0
23.0	4.0	50.0
24.0	4.0	54.0
25.0	4.0	16.0
26.0	4.0	54.0
27.0	4.0	48.0
28.0	4.0	52.0
29.0	4.0	44.0
30.0	4.0	60.0
31.0	4.0	54.0
32.0	4.0	58.0
33.0	4.0	24.0
34.0	4.0	34.0
35.0	4.0	28.0
36.0	4.0	32.0
37.0	4.0	22.0
38.0	4.0	32.0
39.0	4.0	26.0
40.0	4.0	30.0
41.0	4.0	18.0
42.0	4.0	36.0
43.0	4.0	30.0
44.0	4.0	34.0
45.0	4.0	26.0
46.0	4.0	58.0
47.0	4.0	52.0
48.0	4.0	0.0
49.0	4.0	0.0
50.0	4.0	0.0

1.0	5.0	76.0
2.0	5.0	70.0
3.0	5.0	62.0
4.0	5.0	60.0
5.0	5.0	58.0
6.0	5.0	56.0
7.0	5.0	56.0
8.0	5.0	54.0
9.0	5.0	56.0
10.0	5.0	54.0
11.0	5.0	54.0
12.0	5.0	52.0
13.0	5.0	56.0
14.0	5.0	54.0
15.0	5.0	54.0
16.0	5.0	52.0
17.0	5.0	56.0
18.0	5.0	54.0
19.0	5.0	56.0
20.0	5.0	54.0
21.0	5.0	58.0
22.0	5.0	54.0
23.0	5.0	56.0
24.0	5.0	54.0
25.0	5.0	56.0
26.0	5.0	52.0
27.0	5.0	54.0
28.0	5.0	52.0
29.0	5.0	62.0
30.0	5.0	58.0
31.0	5.0	60.0
32.0	5.0	58.0
33.0	5.0	34.0
34.0	5.0	30.0
35.0	5.0	32.0
36.0	5.0	30.0
37.0	5.0	32.0
38.0	5.0	30.0
39.0	5.0	32.0
40.0	5.0	30.0
41.0	5.0	38.0
42.0	5.0	34.0
43.0	5.0	36.0
44.0	5.0	34.0
45.0	5.0	60.0
46.0	5.0	58.0
47.0	5.0	0.0
48.0	5.0	0.0
49.0	5.0	0.0
50.0	5.0	0.0

1.0	6.0	64.0
2.0	6.0	74.0
3.0	6.0	62.0
4.0	6.0	66.0
5.0	6.0	52.0
6.0	6.0	60.0
7.0	6.0	56.0
8.0	6.0	60.0
9.0	6.0	22.0
10.0	6.0	58.0
11.0	6.0	54.0
12.0	6.0	58.0
13.0	6.0	48.0
14.0	6.0	58.0
15.0	6.0	54.0
16.0	6.0	22.0
17.0	6.0	22.0
18.0	6.0	54.0
19.0	6.0	54.0
20.0	6.0	58.0
21.0	6.0	50.0
22.0	6.0	58.0
23.0	6.0	54.0
24.0	6.0	58.0
25.0	6.0	22.0
26.0	6.0	56.0
27.0	6.0	52.0
28.0	6.0	56.0
29.0	6.0	48.0
30.0	6.0	56.0
31.0	6.0	52.0
32.0	6.0	50.0
33.0	6.0	22.0
34.0	6.0	34.0
35.0	6.0	30.0
36.0	6.0	34.0
37.0	6.0	26.0
38.0	6.0	34.0
39.0	6.0	30.0
40.0	6.0	48.0
41.0	6.0	36.0
42.0	6.0	40.0
43.0	6.0	36.0
44.0	6.0	68.0
45.0	6.0	60.0
46.0	6.0	0.0
47.0	6.0	0.0
48.0	6.0	0.0
49.0	6.0	0.0
50.0	6.0	0.0

1.0	7.0	78.0
2.0	7.0	74.0
3.0	7.0	68.0
4.0	7.0	66.0
5.0	7.0	62.0
6.0	7.0	60.0
7.0	7.0	62.0
8.0	7.0	60.0
9.0	7.0	60.0
10.0	7.0	58.0
11.0	7.0	60.0
12.0	7.0	58.0
13.0	7.0	60.0
14.0	7.0	58.0
15.0	7.0	60.0
16.0	7.0	58.0
17.0	7.0	60.0
18.0	7.0	58.0
19.0	7.0	60.0
20.0	7.0	58.0
21.0	7.0	60.0
22.0	7.0	58.0
23.0	7.0	60.0
24.0	7.0	58.0
25.0	7.0	58.0
26.0	7.0	56.0
27.0	7.0	58.0
28.0	7.0	56.0
29.0	7.0	58.0
30.0	7.0	56.0
31.0	7.0	58.0
32.0	7.0	56.0
33.0	7.0	36.0
34.0	7.0	34.0
35.0	7.0	36.0
36.0	7.0	34.0
37.0	7.0	36.0
38.0	7.0	34.0
39.0	7.0	50.0
40.0	7.0	48.0
41.0	7.0	42.0
42.0	7.0	40.0
43.0	7.0	36.0
44.0	7.0	68.0
45.0	7.0	0.0
46.0	7.0	0.0
47.0	7.0	0.0
48.0	7.0	0.0
49.0	7.0	0.0
50.0	7.0	0.0

1.0	8.0	76.0
2.0	8.0	78.0
3.0	8.0	68.0
4.0	8.0	76.0
5.0	8.0	62.0
6.0	8.0	66.0
7.0	8.0	62.0
8.0	8.0	76.0
9.0	8.0	60.0
10.0	8.0	64.0
11.0	8.0	60.0
12.0	8.0	68.0
13.0	8.0	60.0
14.0	8.0	64.0
15.0	8.0	60.0
16.0	8.0	82.0
17.0	8.0	60.0
18.0	8.0	64.0
19.0	8.0	60.0
20.0	8.0	68.0
21.0	8.0	60.0
22.0	8.0	64.0
23.0	8.0	60.0
24.0	8.0	68.0
25.0	8.0	58.0
26.0	8.0	62.0
27.0	8.0	58.0
28.0	8.0	66.0
29.0	8.0	58.0
30.0	8.0	62.0
31.0	8.0	58.0
32.0	8.0	70.0
33.0	8.0	36.0
34.0	8.0	40.0
35.0	8.0	36.0
36.0	8.0	44.0
37.0	8.0	36.0
38.0	8.0	54.0
39.0	8.0	50.0
40.0	8.0	54.0
41.0	8.0	40.0
42.0	8.0	72.0
43.0	8.0	68.0
44.0	8.0	0.0
45.0	8.0	0.0
46.0	8.0	0.0
47.0	8.0	0.0
48.0	8.0	0.0
49.0	8.0	0.0
50.0	8.0	0.0

1.0	9.0	82.0
2.0	9.0	78.0
3.0	9.0	78.0
4.0	9.0	76.0
5.0	9.0	68.0
6.0	9.0	66.0
7.0	9.0	80.0
8.0	9.0	60.0
9.0	9.0	66.0
10.0	9.0	64.0
11.0	9.0	70.0
12.0	9.0	68.0
13.0	9.0	66.0
14.0	9.0	64.0
15.0	9.0	74.0
16.0	9.0	72.0
17.0	9.0	42.0
18.0	9.0	40.0
19.0	9.0	46.0
20.0	9.0	44.0
21.0	9.0	42.0
22.0	9.0	40.0
23.0	9.0	72.0
24.0	9.0	70.0
25.0	9.0	64.0
26.0	9.0	62.0
27.0	9.0	68.0
28.0	9.0	66.0
29.0	9.0	64.0
30.0	9.0	62.0
31.0	9.0	72.0
32.0	9.0	70.0
33.0	9.0	42.0
34.0	9.0	40.0
35.0	9.0	46.0
36.0	9.0	44.0
37.0	9.0	42.0
38.0	9.0	40.0
39.0	9.0	54.0
40.0	9.0	52.0
41.0	9.0	74.0
42.0	9.0	72.0
43.0	9.0	0.0
44.0	9.0	0.0
45.0	9.0	0.0
46.0	9.0	0.0
47.0	9.0	0.0
48.0	9.0	0.0
49.0	9.0	0.0
50.0	9.0	0.0

1.0	10.0	82.0
2.0	10.0	88.0
3.0	10.0	78.0
4.0	10.0	82.0
5.0	10.0	68.0
6.0	10.0	84.0
7.0	10.0	80.0
8.0	10.0	84.0
9.0	10.0	66.0
10.0	10.0	74.0
11.0	10.0	70.0
12.0	10.0	74.0
13.0	10.0	64.0
14.0	10.0	78.0
15.0	10.0	74.0
16.0	10.0	78.0
17.0	10.0	42.0
18.0	10.0	48.0
19.0	10.0	46.0
20.0	10.0	50.0
21.0	10.0	42.0
22.0	10.0	76.0
23.0	10.0	72.0
24.0	10.0	76.0
25.0	10.0	64.0
26.0	10.0	72.0
27.0	10.0	68.0
28.0	10.0	72.0
29.0	10.0	64.0
30.0	10.0	76.0
31.0	10.0	72.0
32.0	10.0	76.0
33.0	10.0	42.0
34.0	10.0	48.0
35.0	10.0	46.0
36.0	10.0	50.0
37.0	10.0	42.0
38.0	10.0	58.0
39.0	10.0	52.0
40.0	10.0	86.0
41.0	10.0	74.0
42.0	10.0	0.0
43.0	10.0	0.0
44.0	10.0	0.0
45.0	10.0	0.0
46.0	10.0	0.0
47.0	10.0	0.0
48.0	10.0	0.0
49.0	10.0	0.0
50.0	10.0	0.0

1.0	11.0	92.0
2.0	11.0	88.0
3.0	11.0	84.0
4.0	11.0	82.0
5.0	11.0	86.0
6.0	11.0	84.0
7.0	11.0	86.0
8.0	11.0	84.0
9.0	11.0	76.0
10.0	11.0	74.0
11.0	11.0	76.0
12.0	11.0	74.0
13.0	11.0	80.0
14.0	11.0	78.0
15.0	11.0	80.0
16.0	11.0	78.0
17.0	11.0	52.0
18.0	11.0	50.0
19.0	11.0	52.0
20.0	11.0	50.0
21.0	11.0	78.0
22.0	11.0	76.0
23.0	11.0	78.0
24.0	11.0	76.0
25.0	11.0	74.0
26.0	11.0	72.0
27.0	11.0	74.0
28.0	11.0	72.0
29.0	11.0	78.0
30.0	11.0	70.0
31.0	11.0	78.0
32.0	11.0	76.0
33.0	11.0	52.0
34.0	11.0	50.0
35.0	11.0	52.0
36.0	11.0	50.0
37.0	11.0	60.0
38.0	11.0	58.0
39.0	11.0	88.0
